name=星空两笔单字DR版
key=abcdefghijklmnopqrstuvwxyz;.',
len=6
pull=;o
user=xklbddr.usr
wildcard=`
[DATA]
b 不
ba 吧
bae 闭
bb 标
bb 杯
bba 嬖
bbe 壁
bbee 棒
bbeea 梆
bbeeo 璧
bbei 柄
bbeia 桲
bbeio 檗
bbeioo 欂
bbeiu 彬
bbeu 弼
bbi 剥
bbia 臂
bbiai 岊
bbo 避
bboe 榜
bboee 辟
bboei 棓
bboeoo 襞
bboo 槟
bboou 屄
bbou 屏
bboue 栟
bbu 板
bbua 杓
bbuaa 枹
bbue 擘
bbui 柏
bbuie 椑
bbuo 朳
bbuoe 鐾
bc 胞
bca 骉
bce 脖
bcea 纰
bcee 绑
bceeu 脿
bcei 膊
bceie 膘
bceiee 骠
bceu 胈
bco 编
bcoe 膀
bcoo 缤
bcoou 膑
bcou 绊
bcu 驳
bcua 绷
bcui 缏
bd 被
bda 袯
bdai 邲
bdau 诐
bde 裱
bdi 补
bdia 扁
bdie 褙
bdo 必
bdoa 遍
bdoai 褊
bdoe 谤
bdoeu 祊
bdu 裨
bdui 褓
be 败
bea 岜
beai 蚆
bee 罢
beee 蚌
beei 幖
beeio 蛃
beeu 畀
beeue 豳
bei 赑
beo 逼
beoa 蝙
beoo 髌
beu 贝
beua 崩
beui 髀
beuie 睥
beuiu 蝂
beuo 贬
beuoi 嶓
bf 部
bfa 变
bfaa 辫
bfai 疤
bfe 病
bfea 庇
bfeao 瓿
bfee 斌
bfeei 禀
bfeeo 癍
bfei 瘭
bfi 冰
bfia 痹
bfo 辩
bfoo 卞
bfou 辨
bfu 瓣
bfue 亳
bfui 瘪
bfuie 庳
bfuiu 褒
bfuu 瘢
bg 并
bg 爆
bga 粑
bgai 羓
bge 弊
bgei 炳
bgeie 熛
bgeieu 糒
bgi 半
bgia 蹩
bgo 憋
bgoa 迸
bgoai 煸
bgoe 焙
bgu 鳖
bgua 炮
bgue 敝
bh 白
bh 版
bhe 便
bhe 卑
bhee 俵
bhei 堡
bheu 佰
bheua 魃
bheue 倴
bhi 保
bhia 鼻
bhiai 帛
bhii 币
bho 倍
bhoa 佖
bhoe 傍
bhoeo 儦
bhoo 傧
bhou 伴
bhouu 煲
bhu 兵
bhua 鹎
bhui 伯
bhuie 俾
bi 比
bia 昪
bie 毕
biei 暴
bieie 坒
bieio 昺
bieioo 晡
bieu 毙
bii 曝
bio 匾
bioa 毖
biu 昄
bj 别
bj 哔
bja 爸
bjai 鄙
bjaii 邠
bjau 跛
bje 颁
bjea 吡
bjeae 跸
bjei 哺
bjeie 坌
bjeu 跋
bji 蹦
bjia 呗
bjiau 嘣
bjio 卟
bjo 八
bjoa 咇
bjoe 踣
bjoo 啵
bjooo 釆
bjuo 叭
bju 豹
bjua 趵
bjue 攽
bk 包
bka 匕
bkaa 勹
bkai 鲃
bke 饽
bkea 狴
bkei 鳔
bkeia 鲾
bkeu 鲅
bki 备
bkia 狈
bkii 刨
bko 饼
bkoa 惫
bkoai 鳊
bkou 飚
bku 饱
bkua 鲍
bkuaa 飑
bkuae 鸨
bkui 鲌
bl 笔
bla 笆
blau 笾
ble 笨
blea 秕
bleae 筚
blei 簸
bleia 馞
bleu 馛
bli 箅
blo 簿
bloao 秘
bloa 馝
bloo 秉
bloou 箔
blu 稗
blue 幷
blueu 犇
blui 篦
bm 般
bma 彼
bme 舭
bmu 舶
bmuu 舨
bn 边
bne 婊
bnei 埔
bnea 妣
bneao 甏
bneu 妭
bni 坝
bnie 埗
bno 办
bnoe 塝
bnu 婢
bnua 堋
bnui 埠
bnuo 坋
bnuu 坂
bnuuu 彭
bo 表
boa 玻
boai 邦
boaia 耙
boe 碧
boee 玤
boeee 琫
boi 帮
boia 邫
boie 琲
boo 班
booa 珌
booe 斑
bou 玢
bp 百
bpe 奔
bpei 礴
bpeie 砵
bpeu 皕
bpi 布
bpia 泵
bpo 磅
bpoa 碥
bpoe 碚
bpoo 殡
bpu 碑
bpua 甭
bpuau 飙
bpuaua 觱
bpuo 砭
bpuoi 磻
br 北
bra 钯
brai 邶
bre 辈
brei 钵
breie 镖
breiei 镈
breu 钚
breua 钹
breue 锛
breui 钸
bri 步
bria 背
briau 钡
briaua 镚
bro 悲
broa 铋
broe 镑
broeo 镳
broo 镔
bru 彪
brua 铇
bruaa 龅
brui 铂
bruu 钣
bs 宝
bse 怖
bsei 悖
bso 忭
bsu 宾
bsue 愎
bsuo 窆
bt 波
bte 渤
btea 沘
btei 浡
bteo 灞
bti 濒
btia 瀑
bto 滨
btoe 汴
btoeo 瀌
btoo 泌
btou 湴
btu 泊
btue 滗
btui 浜
btuii 濞
bu 把
bu 抱
bua 报
buae 摒
buau 拨
bue 捕
buee 拜
buei 霸
bueie 搏
bueiee 摽
bueu 拔
bui 摆
buia 捌
buo 拌
buoe 抃
buoeo 搒
buoo 摈
buu 播
buua 雹
buui 捭
buuo 扮
buuoo 扒
buuou 掰
buuu 搬
buuua 扳
bw 薄
bwa 芭
bwae 薜
bwe 苯
bwea 荜
bwei 荸
bweie 菝
bweiee 蔈
bweu 茇
bwi 苴
bwo 卜
bwoa 苾
bwoai 萹
bwoe 苄
bwoea 蔀
bwoeo 蒡
bwoeoo 藨
bwoo 菠
bwou 蔽
bwu 苞
bwui 葆
bwuie 蓖
bwuiei 萆
bwuio 蓓
bwuo 蕃
bx 弁
bxe 畚
by 本
bya 勃
byai 靶
byaie 孛
byaii 邴
byau 鞁
bye 博
byei 鞴
byi 贲
byii 醭
byo 丙
byoa 逋
byoo 鬓
byou 靽
byu 鞭
byua 鹁
byuo 僰
byuu 髟
bz 巴
bza 陂
bze 陛
bzu 孢
bzuu 阪
cyou 酬
cyoea 醇
cyoe 裁
cyo 聪
c 出
