ibagg 闭关
ibahh 闭合
ibahhu 闭会
ibaho 闭环
ibajc 闭经
ibajg 闭卷
ibakj 闭口
ibalj 闭路
ibama 闭门
ibame 闭目
ibamw 闭幕
ibasf 闭市
ibasr 闭上
ibasru 闭锁
ibass 闭塞
ibaye 闭眼
ibazj 闭嘴
ibbb 并不比
ibbbb 棒棒
ibbbbo 标榜
ibbbbo 板壁
ibbbc 臂膀
ibbbce 臂膊
ibbbf 棒冰
ibbbh 标兵
ibbbho 标版
ibbbi 并不比
ibbbk 不卑不亢
ibbbl 半表半里
ibbbp 壁布
ibbbu 板报
ibbbue 壁报
ibbby 标本
ibbbyo 褒贬不一
ibbbz 部颁标准
ibbc 办不成
ibbcb 棒槌
ibbcbe 壁橱
ibbcbo 标尺
ibbcbo 板材
ibbcf 板床
ibbci 板车
ibbcl 标称
ibbcle 白不呲咧
ibbcn 槟城
ibbcp 办不成
ibbcu 板擦
ibbcy 板寸
ibbcye 百步穿杨
ibbcz 标出
ibbczi 屏除
ibbd 并不多
ibbdd 斑斑点点
ibbde 白扁豆
ibbdf 标底
ibbdg 榜单
ibbdge 壁灯
ibbdh 标的
ibbdha 北部的
ibbdho 标段
ibbdho 颁布的
ibbdho 薄薄的
ibbdi 办不到
ibbdk 并不多
ibbdl 避短
ibbdm 巴不得
ibbdn 百般刁难
ibbdp 剥夺
ibbdq 北部地区
ibbdr 标点
ibbds 标定
iobbdsa 巴巴多斯
iobbdt 包办代替
ibbdu 棒打
ibbdui 剥掉
ibbdx 板凳
ibbdy 并不等于
ibbf 背包袱
ibbfd 板房
ibbff 本本分分
ibbfj 板斧
ibbfk 避风
ibbft 本办法
ibbfx 辨别方向
ibbg 步步高
ibbgb 标杆
ibbgbe 壁柜
ibbgd 宝贝疙瘩
ibbgf 标高
ibbgj 辟谷
ibbgl 标竿
ibbgs 步步高升
ibbgu 壁挂
ibbgw 剥光
ibbgwo 避光
ibbgy 避过
ibbh 并不会
ibbhd 避讳
ibbhdo 避祸
ibbhe 壁画
ibbheo 板画
ibbhh 比比划划
ibbhj 棒喝
ibbhjo 标号
ibbhjo 版本号
ibbhr 壁虎
ibbhs 避寒
ibbhsi 半壁河山
ibbhy 板胡
ibbhya 包办婚姻
ibbhz 抱宝怀珍
ibbja 标间
ibbjb 避忌
ibbjc 板结
ibbjd 标记
ibbje 杯具
ibbjf 鞭不及腹
ibbjg 不变价格
ibbjh 标价
ibbjl 变本加厉
ibbjs 比比皆是
ibbjsi 半壁江山
ibbjx 步步惊心
ibbjxo 不避艰险
ibbjz 本报记者
ibbjzo 标本兼治
ibbk 不包括
ibbkh 壁龛
ibbkm 必不可免
ibbkn 板块
ibbkni 剥壳
ibbko 避开
ibbkoi 剥开
ibbkr 板卡
ibbks 必不可少
ibbku 不包括
ibbl 巴比伦
ibblb 柏林
ibblbo 槟榔
ibblc 板脸
ibblf 剥离
ibblfe 壁立
ibblg 壁炉
ibblgi 棒料
ibblh 巴比伦
ibbli 标量
ibblio 不变量
ibbll 斑驳陆离
ibbln 臂力
ibblu 避雷
ibblw 剥落
ibblwi 半边莲
ibblx 壁垒
ibbly 板栗
ibblz 颁布了
ibbm 八百米
ibbma 本部门
ibbmb 柏木
ibbmg 八百米
ibbmi 标明
ibbmk 避免
ibbmko 标名
ibbmm 爸爸妈妈
ibbn 并不能
ibbnc 臂臑
ibbnk 败不馁
ibbnl 避年
ibbnn 白白嫩嫩
ibbnni 别别扭扭
ibbnx 避难
ibbp 抱不平
ibbph 标牌
ibbpm 杯盘
ibbpn 剥皮
ibbpp 白白胖胖
ibbpu 抱不平
ibbpw 苯并芘
ibbq 北半球
ibbqb 标枪
ibbqbo 板桥
ibbqf 屏弃
ibbqfo 保不齐
ibbqg 遍布全国
ibbqi 八步区
ibbql 标签
ibbqli 屏气
ibbqlo 跛鳖千里
ibbqn 板起
ibbqni 剥去
ibbqo 棒球
ibbqoe 壁球
ibbqoo 板球
ibbqq 彪炳千秋
ibbqt 标清
ibbr 被别人
ibbrd 避让
ibbrdo 兵败如山倒
ibbrh 被别人
ibbs 并不是
ibbsb 柏树
ibbsc 标书
ibbsco 板书
ibbscu 彪炳史册
ibbsd 标识
ibbsdo 不必说
ibbse 璧山
ibbseo 八宝山
ibbsg 榜首
ibbsi 避暑
ibbsio 板式
ibbsj 勃勃生机
ibbsk 剥蚀
ibbske 壁饰
ibbsl 避税
ibbsm 不辨菽麦
ibbso 标示
ibbsp 板石
ibbsr 壁上
ibbsra 比不上
ibbsro 标上
ibbss 杯赛
ibbsso 颁布实施
ibbst 杯水
ibbstu 步兵师
ibbsy 避世
ibbt 半边天
ibbtc 剥脱
ibbtd 避谈
ibbte 标图
ibbteo 标贴
ibbti 标题
ibbtj 巴比妥
ibbtl 壁毯
ibbto 半边天
ibbtt 蹦蹦跳跳
ibbtte 百般挑剔
ibbvk 板儿
ibbvs 苯丙氨酸
ibbw 北部湾
ibbwc 臂腕
ibbwci 卑鄙无耻
ibbwf 臂弯
ibbwfu 榜文
ibbwq 碧波万顷
ibbwt 北部湾
ibbww 病病歪歪
ibbwx 白璧无瑕
ibbwxe 白璧微瑕
ibbwy 步步为营
ibbx 百宝箱
ibbxc 标线
ibbxce 柏乡
ibbxd 本报讯
ibbxdi 拜把兄弟
ibbxe 彬县
ibbxh 屏息
ibbxi 避邪
ibbxl 百宝箱
ibbxn 避嫌
ibbxo 板型
ibbxr 兵不血刃
ibbxro 被保险人
ibbxw 剥削
ibbxwo 被剥削
ibbxy 剥下
ibbxyo 标下
ibbxz 避险
ibby 不必要
ibbyb 榜样
ibbybe 柏杨
ibbybo 标引
ibbyd 标语
ibbye 榜眼
ibbyeo 板眼
ibbyeo 板鸭
ibbyeo 不必因
ibbyh 被边缘化
ibbyi 板牙
ibbyj 柏叶
ibbyl 彬彬有礼
ibbyn 避孕
ibbyo 璧玉
ibbyp 标有
ibbyt 柏油
ibbyta 北冰洋
ibbyy 避雨
ibbyya 巴布亚新几内亚
ibbyyo 病病殃殃
ibbyz 兵不厌诈
ibbz 并不在
ibbzb 八宝粥
ibbzbo 不变资本
ibbzc 壁纸
ibbzd 不败之地
ibbze 杯中
ibbzee 臂助
ibbzf 标准
ibbzfe 臂章
ibbzg 板着
ibbzh 憋不住
ibbzhe 背不住
ibbzi 标致
ibbzj 八拜之交
ibbzji 辨别真假
ibbzm 编笆造模
ibbzn 标志
ibbzne 百般阻挠
ibbzp 板砖
ibbzs 悲不自胜
ibbzt 标注
ibbzy 板载
ibbzye 本本主义
ibbzyo 不白之冤
ibbzz 杯子
ibbzze 柏子
ibbzzi 棒子
ibbzzi 拜把子
ibbzzo 板子
ibcb 备查簿
ibcbb 膀臂
ibcbc 彼此彼此
ibcbd 把持不定
ibcbj 罢黜百家
ibcbl 不成比例
ibcbn 编办
ibcbo 编班
ibcbs 本次比赛
ibcbz 包吃包住
ibcc 不成材
ibccb 不成材
ibcch 编创
ibcck 被查处
ibccl 编程
ibccm 驳斥
ibccmo 驳船
ibccmo 保持沉默
ibccp 编成
ibccz 编出
ibcd 不错的
ibcdb 编导
ibcdd 编订
ibcdg 胞弟
ibcdge 白炽灯
ibcdh 绊倒
ibcdha 包产到户
ibcdho 驳倒
ibcdho 彼此的
ibcdho 悲惨的
ibcdm 绷得
ibcds 绑定
ibcdsi 编定
ibcdy 绷带
ibcdyi 绑带
ibcdz 编队
ibcf 补偿费
ibcfb 补偿费
ibcfc 缤纷
ibcfci 绑缚
ibcfco 膘肥
ibcfi 绑匪
ibcfn 编发
ibcfy 不测风云
ibcg 不超过
ibcgb 百尺竿头，更进一步
ibcgc 博采各家之长
ibcgd 补充规定
ibcge 膑骨
ibcgh 百川归海
ibcgm 本草纲目
ibcgo 便常规
ibcgs 胞宫
ibcgt 鼻唇沟
ibcgte 百尺竿头
ibcgx 脖颈
ibcgy 不超过
ibch 被摧毁
ibchc 编绘
ibche 驳回
ibchh 百川汇海
ibchj 编号
ibchl 绷簧
ibchli 卑辞厚礼
ibchm 编后
ibchs 病虫害
ibchw 报春花
ibchx 包藏祸心
ibchy 本次会议
ibcj 彼此间
ibcja 彼此间
ibcjb 编剧
ibcjbi 编校
ibcjc 绊脚
ibcjca 胞经
ibcjci 编结
ibcjf 编就
ibcjfa 胞浆
ibcji 编辑
ibcjl 病程记录
ibcjn 绑架
ibcjq 绷紧
ibcjr 补偿金
ibcjs 编程技术
ibcjt 保持警惕
ibcjx 备尝艰辛
ibcjz 别出机杼
ibckr 病从口入
ibcl 变成了
ibclb 编录
ibclc 编练
ibclce 绷脸
ibcld 驳论
ibclh 保持良好
ibclk 不辞劳苦
ibcln 拔出萝卜带出泥
ibclp 编列
ibcls 绑牢
ibclx 保持联系
ibclz 补充了
ibclzo 爆出了
ibcma 胞门
ibcme 编目
ibcmj 鞭长莫及
ibcmm 不揣冒昧
ibcmn 胞妹
ibcmp 编码
ibcmy 补偿贸易
ibcne 编内
ibcnl 编年
ibcnx 驳难
ibcny 胞囊
ibcp 半成品
ibcph 保持平衡
ibcpj 半成品
ibcpt 编派
ibcpu 编排
ibcpy 绑票
ibcpyo 薄层培养
ibcq 不差钱
ibcqc 骠骑
ibcqca 胞腔
ibcqe 编曲
ibcqj 不成器
ibcqn 不出去
ibcqr 不差钱
ibcqy 保存期
ibcrj 编入
ibcs 补充说
ibcsc 编书
ibcsd 补充说
ibcsf 白城市
ibcsg 被除数
ibcsgo 被乘数
ibcsl 不出所料
