name=星空两笔S
key=abcdefghijklmnopqrstuvwxyz;.',
len=12
pull=;o
push=,
user=xklbs.usr
wildcard=`
code_e2=p11+p12+,+p21+p22
code_e3=p11+p12+,+p21+p31
code_a4=p11+p21+,+p31+n11
[DATA]
ba 八
bai 闭
bb 标
bb; 壁
bba 棒
bbe 杯
bbi 板
bbo 臂
bbu 避
bbau 嬖
bbee 璧
bbeei 梆
bbei 柄
bbeie 檗
bbeii 桲
bbeio 欂
bbeiu 彬
bbeu 弼
bbia 岊
bbii 剥
bboe 榜
bboei 辟
bboeo 襞
bboeu 棓
bboo 槟
bboou 屄
bbou 屏
bboue 栟
bbua 杓
bbuai 枹
bbue 擘
bbui 柏
bbuie 椑
bbuo 鐾
bbuoe 朳
bc 变
bci 畚
bcu 弁
bd 被
bd; 谤
bda 裱
bde 裨
bdi 遍
bdo 扁
bdu 补
bdai 邲
bdau 诐
bdaue 袯
bdie 褙
bdoa 褊
bdoe 祊
bdui 褓
be 必
be; 崩
bea 贬
bee 罢
bei 贝
beo 逼
beu 败
beai 岜
beaie 蚆
beee 蚌
beei 蛃
beeie 幖
beeu 豳
beeue 畀
beia 赑
beoa 蝙
beoo 髌
beui 睥
beuie 髀
beuiu 蝂
beuo 嶓
bf 部
bf; 辨
bfa 禀
bfe 斌
bfi 病
bfo 辩
bfu 冰
bfaa 辫
bfai 疤
bfea 庇
bfeai 瓿
bfee 癍
bfei 瘭
bfia 痹
bfoo 卞
bfue 亳
bfui 褒
bfuie 瘪
bfuiu 庳
bfuu 瓣
bfuue 瘢
bg 并
bg; 敝
bga 粑
bge 迸
bgi 爆
bgo 弊
bgu 憋
bgai 羓
bgei 炳
bgeie 熛
bgeiu 糒
bgia 蹩
bgoa 煸
bgoe 焙
bgua 鳖
bguai 炮
bh 保
bh; 伴
bha 倍
bhe 兵
bhi 伯
bho 鼻
bhu 版
bhee 俵
bhei 卑
bheio 便
bheie 堡
bheu 魃
bheue 佰
bheui 倴
bhia 帛
bhii 币
bhoa 佖
bhoe 傍
bhoei 儦
bhoo 傧
bhou 煲
bhua 鹎
bhui 魄
bhuie 俾
bi 比
bia 毙
bie 毕
bii 曝
bio 匾
biu 暴
biao 昪
biei 晡
bieie 昺
bieiu 坒
bioa 毖
biuu 昄
bj 别
bj; 鄙
bja 蹦
bje 吧
bji 颁
bjo 爸
bju 豹
bjai 邠
bjau 跛
bjea 哔
bjeai 吡
bjeau 跸
bjei 哺
bjeie 坌
bjeu 跋
bjia 呗
bjiai 嘣
bjio 卟
bjoa 咇
bjoe 踣
bjoo 啵
bjua 趵
bjue 攽
bjuo 叭
bk 备
bk; 惫
bka 匕
bke 包
bki 狈
bko 饼
bku 饱
bkaa 勹
bkai 鲃
bkea 狴
bkei 饽
bkeie 鳔
bkeiu 鲾
bkeu 鲅
bkii 刨
bkoa 鳊
bkou 飚
bkua 鲍
bkuai 鸨
bkuau 飑
bkui 鲌
bl 把
bla 簸
ble 笔
bli 笨
blo 秉
blu 簿
blai 笆
blau 笾
blea 筚
bleai 秕
blei 馞
bleu 馛
blia 箅
bloa 馝
bloai 秘
bloo 箔
blue 幷
bluei 犇
blui 篦
bluie 稗
bm 般
bme 彼
bmi 舭
bmo 舨
bmu 舶
bn 边
bn; 坝
bne 办
bni 婢
bno 埔
bnu 坂
bnea 妣
bneai 甏
bnee 婊
bneu 妭
bnie 埗
bnoe 塝
bnua 堋
bnui 埠
bnuo 坋
bnuu 彭
bo 表
bo; 玻
boa 斑
boe 帮
boi 班
boo 邦
bou 碧
boai 耙
boee 琫
boeei 玤
boia 邫
boie 琲
booa 珌
bouo 玢
bp 百
bpa 飙
bpe 布
bpo 碑
bpi 泵
bpu 奔
bpei 礴
bpeie 砵
bpeu 皕
bpoa 碥
bpoe 磅
bpoei 碚
bpoo 殡
bpua 甭
bpuai 觱
bpuo 磻
bpuoe 砭
br 步
br; 镖
bra 彪
bre 辈
bri 背
bro 悲
bru 北
brai 钯
braie 邶
brei 钵
breie 镈
breu 钹
breue 钚
breui 锛
breuo 钸
bria 钡
briai 镚
broa 铋
broe 镑
broei 镳
broo 镔
brua 龅
bruai 铇
brui 铂
bruu 钣
bs 宝
bs; 忭
bsa 窆
bse 愎
bsi 怖
bso 宾
bsu 悖
bt 波
bte 渤
bti 濒
bto 滨
btu 泊
btea 沘
bteie 浡
bteo 灞
btia 瀑
btoa 泌
btoe 汴
btoei 瀌
btou 湴
btue 滗
btui 浜
btuie 濞
bu 报
bu; 拜
bua 霸
bue 抱
bui 摆
buo 捕
buu 播
buae 摒
buau 拨
buei 搏
bueie 摽
bueu 拔
buia 捌
buoe 抃
buoei 搒
buoo 摈
buou 拌
buua 雹
buui 捭
buuo 扮
buuoe 扒
buuoi 掰
buuu 搬
buuue 扳
bv 编
bv; 膊
bvu 胞
bve 绑
bvo 膀
bvi 脖
bva 绷
bvaa 骉
bvea 纰
bvee 脿
bvei 骠
bveie 膘
bveu 胈
bvoo 缤
bvooe 膑
bvou 绊
bvui 缏
bvuo 驳
bw 半
bw; 蓓
bwa 苞
bwe 芭
bwi 薄
bwo 卜
bwu 蔽
bwae 薜
bwea 荜
bwei 苯
bweie 菝
bweio 蔈
bweiu 荸
bweu 茇
bwoa 苾
bwoai 萹
bwoe 苄
bwoei 蒡
bwoeo 蔀
bwoeu 藨
bwoo 菠
bwui 葆
bwuie 蓖
bwuiu 萆
bwuo 蕃
bx 巴
bxe 陂
bxi 陛
bxo 孢
bxu 阪
by 本
bya 靶
bye 博
byi 丙
byo 勃
byu 鞭
byai 邴
byaie 孛
byau 鞁
byei 鞴
byia 贲
byii 醭
byoa 逋
byoo 鬓
byou 靽
byua 鹁
byuo 僰
byuu 髟
ca 闯
cao 阐
cai 阊
cb 查
cb; 迟
cba 尺
cbe 村
cbi 层
cbo 材
cbu 楚
cbaa 椽
cbai 弛
cbaie 孱
cbaiu 郴
cbao 橙
cbaoe 杈
cbaoi 柽
cbau 弨
cbee 椿
cbeei 梼
cbeeu 楱
cbei 槽
cbeie 楮
cbeiu 楂
cbeo 樗
cbeu 橱
cbia 梣
cboe 榇
cboei 榱
cboo 檫
cbou 槎
cboue 羼
cbua 栅
cbuai 柢
cbuau 椆
cbue 杵
cbuei 棰
cbueu 枨
cbui 椎
cbuie 槌
cbuiu 梴
cbuo 枞
cbuoe 棽
cc 参
cc; 皴
cce 翀
cci 翠
cco 戳
ccu 叉
cd 初
cd; 衬
cda 祠
cde 禅
cdi 诚
cdo 诧
cdu 词
cdao 衩
cdei 褚
cdeie 谌
cdia 昶
cdiai 裎
cdua 谄
cduai 谗
cduau 襜
cduo 谶
cduu 褫
ce 财
ce; 崔
cea 畅
cee 赐
cei 串
ceo 虫
ceu 崇
ceai 黜
ceao 眙
ceaoe 蛏
ceaoi 黪
ceee 畴
ceeei 帱
ceeeu 蝽
ceei 瞋
ceeie 螬
ceeio 畤
ceeiu 嵖
ceia 圌
ceio 瞠
ceoa 遄
ceoai 辿
ceoe 幢
ceoei 螭
ceou 蝉
ceoue 嵯
ceoui 嶒
ceua 蟾
ceuai 巉
ceuau 眵
ceue 瞅
ceuo 睬
ceuoe 岑
ceuoi 蜍
cf 次
cfo 床
cfa 凑
cfe 颤
cfi 冲
cfu 充
cf; 痴
cfao 瘳
cfea 瓷
cfee 瘛
cfei 庱
cfia 衰
cfiai 畜
cfiao 廛
cfiau 啻
cfie 疵
cfoe 瘁
cfoei 麤
cfou 疢
cfoue 粢
cfoui 瘥
cfua 鹑
cfue 犨
cfuo 卒
cfuoe 疮
cfuoi 痤
cg 曾
cg; 灿
cga 炒
cge 炽
cgi 粗
cgo 慈
cgu 差
cgaa 兹
cgae 冁
cgei 煁
cgia 单
cgie 焯
cgoe 粹
cgou 糍
cgua 炊
cguai 鹚
cguau 歘
cgue 糙
cgui 熜
ch 从
ch; 川
cha 促
che 传
chi 创
cho 侧
chu 仇
chaa 仓
chae 伺
chee 丛
cheei 俦
chei 爨
cheu 臭
chia 催
chiae 偲
chiao 俶
chiau 倡
chio 偿
choa 储
choai 雠
choe 魑
choei 侪
choeo 佽
choeu 隹
choo 侘
chua 侈
chuae 儳
chuai 囱
chuao 傺
chuau 鸧
chue 伥
chuei 倕
chuo 伧
chuoe 偁
ci 车
cia 辍
cie 晨
cii 臣
ciu 昌
ciai 邨
ciee 辏
cieu 晟
ciia 虿
ciiai 旵
ciua 匙
ciuo 晁
cj 吃
cj; 吵
cja 喘
cje 采
cji 唱
cjo 吹
cju 彩
cjae 呎
cjai 嗤
cjao 啜
cjee 呈
cjeei 踌
cjei 嘲
cjei; 躇
cjeia 豺
cjeie 嗔
cjeiei 蹅
cjeii 嘈
cjeio 喳
cjeioe 瓻
cjeioi 吋
cjeiu 哧
cjeu 蹰
cjia 踹
cjiae 汆
cjiai 岔
cjiao 肏
cjiau 嘬
cjie 呲
cjiei 踔
cjieu 跐
cjii 刹
cjoa 逞
cjoe 啐
cjoei 蹴
cjoeo 躔
cjoeu 噇
cjoo 嚓
cjooe 蹿
cjou 蹭
cjoue 噌
cjoui 蹉
cjouo 蹲
cjua 叱
cjuai 鬯
cjue 踟
cjuo 踩
cjuoe 趻
cjuoi 喰
ck 处
cka 猖
cke 猜
cki 触
cko 匆
cku 册
ckae 刍
ckea 舛
ckee 
ckei 馇
ckeie 猹
ckia 鲳
ckio 鲿
ckoe 猝
ckua 馋
ckuai 鸱
ckue 饬
ckui 雏
cl 重
cl; 垂
cla 策
cle 程
cli 乘
clo 辞
clu 称
clai 酂
clao 笞
claoe 
clee 筹
cleo 秤
clia 篡
cliai 种
cloa 愁
cloe 簇
clua 稠
clue 掣
cluei 毳
clui 氚
cluo 矬
cluu 篪
cm 船
cma 徜
cme 彻
cmi 惩
cmo 斥
cmu 舱
cmei 舡
cmeie 艚
cmia 徂
cmiai 斶
cmii 彳
cmoe 艟
cn 场
cne 城
cni 超
cno 赤
cnu 趁
cna 墀
cnai 媸
cnee 堾
cnia 娼
cniai 埕
cnie 赪
cnio 嫦
cnioe 埫
cnoo 姹
cnooe 垞
cnou 婵
cnua 坻
cnuu 坼
co 春
coa 玚
coe 蠢
coi 蚕
coo 璨
cou 璀
coee 瑃
coeu 珹
coeue 漦
coia 珵
coie 玼
coii 亍
coiie 刬
coiu 耖
cooa 琛
cooe 珫
cooo 琮
coou 瑳
coua 琤
coui 璁
couie 舂
cp 成
cpa 唇
cpe 存
cpi 辰
cpo 残
cpu 厂
cpai 础
cpao 碜
cpea 臧
cpeai 砗
cpei 厨
cpeie 碴
cpeio 礤
cpeiu 厝
cpia 厕
cpiai 盛
cpiao 殂
cpiau 蹙
cpou 磁
cpoue 磋
cr 此
cr; 柴
cra 铲
cre 锤
cri 错
cro 餐
cru 齿
crao 钗
crei 镡
creu 铖
cria 龊
criai 锄
criao 锠
criau 觇
crio 铛
criu 钞
croa 逴
croe 铳
croo 镲
crooe 镩
crou 粲
croue 鹾
crua 龀
cruai 镵
crue 锸
crui 雌
cruie 钏
cruo 锉
cs 穿
cs; 宠
csa 惙
cse 窜
csi 窗
cso 惨
csu 察
csao 憕
csau 怊
csea 惭
csei 忖
cseie 怵
cseiu 憷
cseu 宸
cseue 宬
csia 忡
csiai 恻
csio 惝
csoa 忱
csoe 悴
csoei 憧
csoo 悰
csua 惆
csuai 
csue 怅
csuei 忏
csuo 怆
ct 沉
ct; 潮
cta 澄
cte 沧
cti 测
cto 池
ctu 尘
ctae 潺
ctai 滁
ctao 汊
ctei 漕
cteie 濋
ctia 涔
ctiai 澂
ctiao 漴
ctiau 漼
ctie 淖
ctiei 泚
ctio 淌
ctoe 淳
ctoe; 浐
ctoee 瀍
ctoei 澈
ctoeo 澶
ctoeu 淬
ctoo 淙
cu 持
cu; 拆
cua 措
cue 操
cui 抽
cuo 擦
cuu 插
cuao 掺
cuee 摏
cuei 搽
cueo 摴
cuia 摧
cuiai 揣
cuiao 抻
cuiau 撮
cuie 扯
cuio 撑
cuiu 抄
cuoe 撤
cuoei 搐
cuoeu 摛
cuoo 撺
cuou 搓
cuua 搀
cuue 捶
cuuei 攒
cuuo 挫
cuuoe 抢
cuuu 搋
cv 纯
cv; 肠
cva 绌
cve 巢
cvi 驰
cvo 缠
cvu 脆
cvaa 巛
cvae 骣
cvao 骖
cvea 肫
cvee 腠
cveei 
cvei 綝
cvia 骋
cvie 绰
cvii 剿
cvoe 膪
cvoei 缞
cvou 塍
cvua 绸
cvuai 朐
cvue 胣
cvui 骢
cvuo 脞
cvuu 肜
cw 常
cw; 菜
cwa 莼
cwe 苍
cwi 草
cwo 藏
cwu 茶
cwea 茝
cwee 尝
cwei 莿
cweu 茬
cweue 蒇
cwia 苴
cwiai 菖
cwiau 牚
cwie 茈
cwoe 裳
cwoee 茺
cwoei 茨
cwoeo 蔟
cwoeu 萃
cwua 蔡
cwuai 葱
cwue 敞
cwuei 氅
cwueu 苌
cwui 茌
cwuo 苁
cwuoe 莝
cx 出
cx; 丑
cxe 丞
cxi 陈
cxo 承
cxu 除
cxia 蚩
cxue 陲
cy 才
cy; 寸
cya 裁
cye 朝
cyi 刺
cyo 聪
cyu 曹
cyao 翅
cyei 醋
cyeie 矗
cyeiu 豉
cyia 酲
cyie 耻
cyoe 醇
cyou 酬
cyua 韂
cyue 敕
cyuei 酢
da 代
dai 阇
dau 厾
db 导
db; 杜
dba 刁
dbe 栋
dbi 档
dbo 弹
dbu 殿
dbae 棣
dbei 椟
dbeu 杕
dbia 屌
dboa 逮
dboo 柁
dbua 柢
dbui 椴
dc 对
dc; 邓
dce 怠
dci 叠
dco 登
dcu 凳
dcii 剟
dcoa 怼
dcoai 迨
dcui 翟
dd 读
dd; 谍
dda 诞
dde 祷
ddi 订
ddo 谛
ddu 诋
ddao 诒
ddaoe 裰
ddea 楪
ddei 褡
ddie 扂
ddio 裆
ddioe 谠
ddoe 禘
ddua 调
dduai 祋
de 电
de; 迪
dea 蝶
dee 典
dei 盯
deo 瞪
deu 赌
deae 鼎
deao 嶝
deea 囤
deeai 盹
deeau 岽
deee 帱
deei 巅
deeie 睹
deeio 黩
deeiu 町
deeu 耑
deia 豆
deiai 峒
deiau 髑
deoa 逗
deoai 眈
deoo 蚪
deou 睇
deoue 赕
deua 骶
df 度
df; 店
dfa 冻
dfe 盗
dfi 帝
dfo 端
dfu 底
dfae 癜
dfei 癫
dfeie 瘩
dfeio 疔
dfeiu 痘
dfia 亶
dfiai 疸
