name=星空一道
key=abcdefghijklmnopqrstuvwxyz;.',
len=12
pull=;o
user=xkyd.usr
wildcard=`
code_e2=p11+p12+p21+p22+p13+p23
code_e3=p11+p21+p31+p32+p13+p23+p33
code_a4=p11+p21+p31+n11+p13+p23+p33+n13
[DATA]
a 那
b 不
ba 把
baa 巴
baae 灞
baaeoa 灞
baaiea 巴
baau 妭
baaueu 妭
bae 霸
baee 耙
baeeai 耙
baei 靶
baeiai 靶
baeo 坝
baeoao 坝
baeoei 霸
baeu 朳
baeuoo 朳
bai 拔
baia 罢
baiaa 岜
baiaai 岜
baiaai 蚆
baiaeo 罢
baii 芭
baiiai 芭
baiie 茇
baiieu 茇
baiii 菝
baiiiu 菝
baio 钯
baioai 钯
baiu 扒
baiuai 把
baiueu 拔
baiuo 捌
baiuoa 捌
baiuuo 扒
bao 吧
baoaie 吧
baoe 疤
baoeai 疤
baoi 跋
baoieu 跋
baou 叭
baoua 粑
baouai 羓
baouai 粑
baouoo 叭
bau 八
baua 鲅
bauaa 鲃
bauaai 鲃
bauaeu 鲅
bauau 鲌
bauaui 鲌
baue 笆
baueai 笆
baueu 胈
baueua 胈
baui 魃
bauieu 魃
bauo 爸
bauoai 爸
bauooo 八
bb 宾
bba 滨
bbaa 缤
bbaaoo 缤
bbai 濒
bbaiei 濒
bbaooa 滨
bbe 彬
bbee 玢
bbeeuo 玢
bbeeuu 彬
bbei 鬓
bbeioo 鬓
bbeo 槟
bbeooa 槟
bbeu 殡
bbeuoo 殡
bbi 摈
bbia 髌
bbiae 豳
bbiaeu 豳
bbiaoo 髌
bbio 傧
bbioo 镔
bbiooa 傧
bbiooo 镔
bbiuoo 摈
bbo 斌
bboeee 斌
bbooui 宾
bbu 邠
bbuo 膑
bbuoai 邠
bbuooa 膑
bd 表
bda 婊
bdaa 骠
bdaaa 骉
bdaaaa 骉
bdaaei 骠
bdao 瀌
bdaoeu 瀌
bdauee 婊
bde 标
bdeeei 标
bdeeua 表
bdei 髟
bdeiuu 髟
bdeu 飙
bdeua 杓
bdeuao 杓
bdeuua 飙
bdi 彪
bdia 幖
bdiaei 幖
bdie 俵
bdieei 俵
bdieuu 彪
bdii 藨
bdiie 蔈
bdiiei 蔈
bdiioe 藨
bdio 镖
bdioe 儦
bdioea 儦
bdioei 镖
bdioo 镳
bdiooe 镳
bdiu 摽
bdiuei 摽
bdo 裱
bdoaee 裱
bdoe 瘭
bdoeei 瘭
bdou 熛
bdouei 熛
bdu 膘
bdua 飚
bduae 鳔
bduaei 鳔
bduaou 飚
bduau 飑
bduaua 飑
bdue 脿
bdueei 脿
bdueia 膘
bf 变
bfa 边
bfaa 编
bfaai 缏
bfaaie 缏
bfaaoa 编
bfao 贬
bfaoa 𨚕
bfaoai 𨚕
bfaoe 汴
bfaoei 汴
bfaoeu 弁
bfaouo 贬
bfauoa 边
bfe 鞭
bfeiie 鞭
bfeo 匾
bfeoae 匾
bfeu 砭
bfeuo 碥
bfeuoa 碥
bfeuuo 砭
bfi 便
bfia 蝙
bfiaoa 蝙
bfieia 便
bfii 苄
bfiio 萹
bfiioa 萹
bfiioe 苄
bfiu 抃
bfiuoe 抃
bfo 遍
bfoa 扁
bfoaia 扁
bfoao 褊
bfoaoa 褊
bfoaoa 遍
bfoe 辩
bfoea 辫
bfoeaa 辫
bfoeao 变
bfoei 卞
bfoeio 卞
bfoeo 辨
bfoeoa 辩
bfoeou 辨
bfoi 昪
bfoiao 昪
bfoo 窆
bfooo 忭
bfoooe 忭
bfoouo 窆
bfou 煸
bfouoa 煸
bfu 笾
bfua 鳊
bfuaoa 鳊
bfueau 笾
bg 并
bga 屏
bgaeou 屏
bge 柄
bgeeia 柄
bgei 丙
bgeia 邴
bgeiai 邴
bgeiau 丙
bgeo 槟
bgeooa 槟
bgi 摒
bgia 蛃
bgiaei 蛃
bgiuae 摒
bgo 病
bgoe 冰
bgoeaa 冰
bgoeei 病
bgoei 禀
bgoeia 禀
bgoi 昺
bgoiei 昺
bgou 炳
bgouee 并
bgouei 炳
bgu 兵
bgua 饼
bguaou 饼
bgue 秉
bgueae 秉
bguiuo 兵
bh 白
bha 败
bhaoue 败
bhe 百
bheu 柏
bheuia 柏
bheuoi 百
bhi 摆
bhie 佰
bhieui 佰
bhiu 拜
bhiuee 拜
bhiui 伯
bhiuia 摆
bhiuia 伯
bhiuu 掰
bhiuui 捭
bhiuuo 掰
bho 呗
bhoaoo 呗
bhu 稗
bhueui 稗
bhuiae 白
bi 比
bia 避
biaa 纰
biaaea 纰
biae 壁
biaea 嬖
biaeau 沘
biaeau 嬖
biaee 璧
biaeee 璧
biaeeo 壁
biaeeu 弼
biaeo 辟
biaeoa 避
biaeoe 襞
biaeoe 辟
biaeoo 屄
biaeu 臂
biaeuu 臂
biai 陛
biaiea 陛
biao 泌
biaoa 赑
biaoao 赑
biaoao 泌
biau 婢
biaue 妣
biauea 妣
biaueo 滗
biaui 濞
biauia 濞
biauui 婢
bie 毕
biea 毙
bieae 坒
bieaeo 坒
bieaeu 毙
bieao 毖
bieaoa 毖
bieaua 比
bieauo 毕
biee 碧
bieeeu 碧
bieeo 珌
bieeoa 珌
bieo 逼
bieooa 逼
bieu 觱
bieue 皕
bieueu 皕
bieuua 觱
bii 蔽
biia 睥
biiae 畀
biiaeu 畀
biiau 髀
biiaui 髀
biiaui 睥
biii 蓖
biiia 薜
biiiae 薜
biiie 荜
biiiea 荜
biiio 苾
biiioa 苾
biiiou 蔽
biiiu 萆
biiiui 萆
biiiui 蓖
biiiuo 荸
biio 铋
biioa 佖
biioao 佖
biiooa 铋
biiu 俾
biiuia 俾
bio 必
bioa 裨
